ref;ano;artigo
177;2004;Guimarães, A. E., Gentile, C., Alencar, J., Lopes, C. M., & de Mello, R. P. (2004). Ecology of Anopheline (Diptera, Culicidae), malaria vectors around the Serra da Mesa Reservoir, State of Goiás, Brazil. 1--Frequency and climatic factors. Cadernos de Saúde Pública / Ministério Da Saúde, Fundação Oswaldo Cruz, Escola Nacional de Saúde Pública, 20(1), 291–302. https://doi.org/10.1590/S0102-311X2004000100047
178;2012;Confalonieri, U. E. C., & Costa Neto, C. (2012). Diversity of mosquito vectors (Diptera: Culicidae) in Caxiuanã, Pará, Brazil. Interdisciplinary Perspectives on Infectious Diseases, 2012, 1–8. https://doi.org/10.1155/2012/741273
179;2016;Alencar, J., de Mello, C. F., Gil-Santana, H. R., Guimarães, A. É., de Almeida, S. A. S., & Gleiser, R. M. (2016). Vertical oviposition activity of mosquitoes in the Atlantic Forest of Brazil with emphasis on the sylvan vector, Haemagogus leucocelaenus (Diptera: Culicidae). Journal of Vector Ecology, 41(1), 18–26. https://doi.org/10.1111/jvec.12189
180;2010;Wermelinger, E. D., Benigno, C. V., MacHado, R. N. M., Nascimento, T. F. S., Ferreira, A. P., Meira, A. M., Souza, M. B., & Zanuncio, J. C. (2010). Occurrence of anopheles (Nyssorhynchus) rangeli (Gabaldon et al) and anopheles (Nyssorhynchus) evansae (Brethes) (Diptera: Culicidae) in an Eutrophized Dam. Neotropical Entomology, 39(3), 449–450. https://doi.org/10.1590/S1519-566X2010000300022
181;2015;Alencar, J., & Gil-Santana, H. R. (2015). Notas taxonômicas e biológicas sobre Sabethes (Peytonulus) fabricii Lane & Cerqueira (Diptera: Culicidae). Brazilian Journal of Biology, 75(4), S192–S195. https://doi.org/10.1590/1519-6984.09614
182;2010;Alencar, J., Serra-Friere, N. M., Marcondes, C. B., Silva, J. D. S., Correa, F. F., & Guimarães, A. É. (2010). Influence of climatic factors on the population dynamics of Haemagogus janthinomys (Diptera: Culicidae), a vector of sylvatic yellow fever. Entomological News, 121(1), 45–52. https://doi.org/10.3157/021.121.0109
183;2008;Aguiar, D. B., Fontão, A., Rufino, P., Macedo, V. A., Ríos-Velásquez, C. M., Castro, M. G., & Honório, N. A. (2008). Primeiro registro de Aedes albopictus (Diptera: Culicidae) em Roraima, Brasil. Acta Amazonica, 38(2), 357–359. https://doi.org/10.1590/S0044-59672008000200021
184;2011;Barbosa, R. M. R., & Regis, L. N. (2011). Monitoring temporal fluctuations of Culex quinquefasciatus using oviposition traps containing attractant and larvicide in an urban environment in recife, Brazil. Memorias Do Instituto Oswaldo Cruz, 106(4), 451–455. https://doi.org/10.1590/S0074-02762011000400011
185;1999;Souza-Santos, R. (1999). The factors associated with the occurrence of immature forms of Aedes aegypti in Ilha do Governador, Rio de Janeiro, Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 32(4), 373–382. https://doi.org/10.1590/s0037-86821999000400007
186;2010;Palacio, D. D. P., Lourenço-de-Oliveira, R., & Motta, M. de A. (2010). Description of the immature stages of Wyeomyia (Spilonympha) howardi Lane & Cerqueira (Diptera?: Culicidae) with a redescription of the adults. Zootaxa, 53, 43–53.
187;2021;David, M. R., Dantas, E. S., Maciel-de-Freitas, R., Codeço, C. T., Prast, A. E., & Lourenço-de-Oliveira, R. (2021). Influence of Larval Habitat Environmental Characteristics on Culicidae Immature Abundance and Body Size of Adult Aedes aegypti. Frontiers in Ecology and Evolution, 9(February), 1–12. https://doi.org/10.3389/fevo.2021.626757
188;2004;Lourenço-de-Oliveira, R., Castro, M. G., Braks, M. A. H., & Lounibos, L. P. (2004). The invasion of urban forest by dengue vectors in Rio de Janeiro. Journal of Vector Ecology?: Journal of the Society for Vector Ecology, 29(1), 94–100. http://www.ncbi.nlm.nih.gov/pubmed/15266746
189;2010;Cardoso, J. C., de Paula, M. B., Fernandes, A., dos Santos, E., de Almeida, M. A. B., da Fonseca, D. F., & Sallum, M. A. M. (2010). New records and epidemiological potential of certain species of mosquito (diptera, culicidae) in the state of rio grande do sul, Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 43(5), 552–556. https://doi.org/10.1590/s0037-86822010000500016
190;2018;Ayllón, T., Câmara, D. C. P., Morone, F. C., da Silva Gonçalves, L., de Barros, F. S. M., Brasil, P., Carvalho, M. S., & Honório, N. A. (2018). Dispersion and oviposition of Aedes albopictus in a Brazilian slum: Initial evidence of Asian tiger mosquito domiciliation in urban environments. PLoS ONE, 13(4), 1–11. https://doi.org/10.1371/journal.pone.0195014
191;2014;Degener, C. M., de Ázara, T. M. F., Roque, R. A., Codeço, C. T., Nobre, A. A., Ohly, J. J., Geier, M., & Eiras, Á. E. (2014). Temporal abundance of Aedes aegypti in Manaus, Brazil, measured by two trap types for adult mosquitoes. Memorias Do Instituto Oswaldo Cruz, 109(8), 1030–1040. https://doi.org/10.1590/0074-0276140234
192;2009;Codeço, C. T., Honório, N. A., Ríos-Velásquez, C. M., dos Santos, M. da C. A., de Mattos, I. V., Luz, S. B., Reis, I. C., da Cunha, G. B., Rosa-Freitas, M. G., Tsouris, P., de Castro, M. G., Hayd, R. L. N., & Luitgards-Moura, J. F. (2009). Seasonal dynamics of Aedes aegypti (Diptera: Culicidae) in the northernmost state of Brazil: A likely port-of-entry for dengue virus 4. Memorias Do Instituto Oswaldo Cruz, 104(4), 614–620. https://doi.org/10.1590/S0074-02762009000400014
193;2012;Wermelinger, E., Benigno, C., Machado, R., Cabello, P., Meira, A., Ferreira, A., & Zanuncio, J. (2012). Mosquito population dynamic (diptera: culicidae) in a eutrophised dam. Brazilian Journal of Biology, 72(4), 795–799. https://doi.org/10.1590/s1519-69842012000500003
194;2009;Galardo, A. K. R., Zimmerman, R. H., Lounibos, L. P., Young, L. J., Galardo, C. D., Arruda, M., & D’Almeida Couto, A. A. R. (2009). Seasonal abundance of anopheline mosquitoes and their association with rainfall and malaria along the Matapí River, Amapá, Brazil. Medical and Veterinary Entomology, 23(4), 335–349. https://doi.org/10.1111/j.1365-2915.2009.00839.x
195;2021;Andrade, A. O., Santos, N. A. C. dos, Castro, R. B., Araujo, I. S. De, Bastos, A. da S., Magi, F. N., Rodrigues, M. M. de S., Pereira, D. B., Medeiros, J. F., & Araújo, M. da S. (2021). Description of malaria vectors (Diptera: Culicidae) in two agricultural settlements in the Western Brazilian Amazon. Revista Do Instituto de Medicina Tropical de São Paulo, 63(June), 1–9. https://doi.org/10.1590/s1678-9946202163060
196;2009;Honório, N. A., Nogueira, R. M. R., Codeço, C. T., Carvalho, M. S., Cruz, O. G., Magalhães, M. D. A. F. M., De Araújo, J. M. G., De Araújo, E. S. M., Gomes, M. Q., Pinheiro, L. S., Pinel, C. D. S., & Lourenço-de-Oliveira, R. (2009). Spatial evaluation and modeling of dengue seroprevalence and vector density in Rio de Janeiro, Brazil. PLoS Neglected Tropical Diseases, 3(11), 1–11. https://doi.org/10.1371/journal.pntd.0000545
197;2020;Cruz, A. C. R., Neto, J. P. N., da Silva, S. P., da Silva, E. V. P., Pereira, G. J. G., Santos, M. M., de Oliveira Monteiro, H. A., dos Santos, F. B., de Paula Souza e Guimarães, R. J., Aragão, C. F., & Martins, L. C. (2020). Chikungunya virus detection in aedes aegypti and culex quinquefasciatus during an outbreak in the amazon region. Viruses, 12(8). https://doi.org/10.3390/v12080853
198;2018;Martins, L. M. O., David, M. R., Maciel-de-Freitas, R., & Silva-do-Nascimento, T. F. (2018). Diversity of Anopheles mosquitoes from four landscapes in the highest endemic region of malaria transmission in Brazil. Journal of Vector Ecology, 43(2), 235–244. https://doi.org/10.1111/jvec.12307
199;2014;Regis, L. N., Acioli, R. V., Silveira, J. C., de Melo-Santos, M. A. V., da Cunha, M. C. S., Souza, F., Batista, C. A. V., Barbosa, R. M. R., de Oliveira, C. M. F., Ayres, C. F. J., Monteiro, A. M. V., & Souza, W. V. (2014). Characterization of the spatial and temporal dynamics of the dengue vector population established in urban areas of Fernando de Noronha, a Brazilian oceanic island. Acta Tropica, 137, 80–87. https://doi.org/10.1016/j.actatropica.2014.04.010
200;2016;Paploski, I. A. D., Rodrigues, M. S., Mugabe, V. A., Kikuti, M., Tavares, A. S., Reis, M. G., Kitron, U., & Ribeiro, G. S. (2016). Storm drains as larval development and adult resting sites for Aedes aegypti and Aedes albopictus in Salvador, Brazil. Parasites and Vectors, 9(1), 1–8. https://doi.org/10.1186/s13071-016-1705-0
201;2019;dos Reis, I. C., Gibson, G., Ayllón, T., de Medeiros Tavares, A., de Araújo, J. M. G., da Silva Monteiro, E., Rodrigues Aguiar, A., de Oliveira, J. V., de Paiva, A. A. P., Wana Bezerra Pereira, H., Dantas Monteiro, J., Sá Carvalho, M., Sabroza, P. C., & Alves Honório, N. (2019). Entomo-virological surveillance strategy for dengue, Zika and chikungunya arboviruses in field-caught Aedes mosquitoes in an endemic urban area of the Northeast of Brazil. Acta Tropica, 197(June), 105061. https://doi.org/10.1016/j.actatropica.2019.105061
202;2007;De Barros, F. S. M., & Honório, N. A. (2007). Man biting rate seasonal variation of malaria vectors in Roraima, Brazil. Memorias Do Instituto Oswaldo Cruz, 102(3), 299–302. https://doi.org/10.1590/s0074-02762007005000024
203;1999;Xavier, M. M. dos S., & Rebêlo, J. M. M. (1999). Espécies de Anopheles (Culicidae, Anophelinae) em área endêmica de malária, Maranhão, Brasil. Revista de Saúde Pública, 33(6), 35–41.
204;2014;Ceretti-Júnior, W., Medeiros-Sousa, A. R., Multini, L. C., Urbinatti, P. R., Vendrami, D. P., Natal, D., Marques, S., Fernandes, A., Ogata, H., & Marrelli, M. T. (2014). Immature mosquitoes in bamboo internodes in municipal Parks, City of São Paulo, Brazil. Journal of the American Mosquito Control Association, 30(4), 268–274. https://doi.org/10.2987/14-6403R.1
205;2016;Ceretti-Junior, W., Christe, R. de O., Rizzo, M., Strobel, R. C., Junior, M. O. de M., Mello, M. H. S. H. de, Fernandes, A., Medeiros-Sousa, A. R., Carvalho, G. C. de, & Marrelli, M. T. (2016). Species composition and ecological aspects of immature mosquitoes (Diptera: Culicidae) in bromeliads in urban parks in the city of sao paulo, brazil. Journal of Arthropod-Borne Diseases, 10(1), 102–112. http://jad.tums.ac.ir/index.php/jad/article/download/298/273%0Ahttp://ovidsp.ovid.com/ovidweb.cgi?T=JS&PAGE=reference&D=emed18&NEWS=N&AN=607521198
206;2001;Ferreira, R. L. M., Oliveira, A. F., Pereira, E. S., & Hamada, N. (2001). Occurence of Larval Culicidae (Diptera) in Water Retained in Aquascypha hydrophora (Fungus: Stereaceae) in Central Amazônia, Brazil. Memorias Do Instituto Oswaldo Cruz, 96(8), 1165–1167. https://doi.org/10.1590/S0074-02762001000800023
207;2013;de Resende, M. C., Silva, I. M., Ellis, B. R., & Eiras, Á. E. (2013). A comparison of larval, ovitrap and MosquiTRAP surveillance for Aedes (Stegomyia) aegypti. Memorias Do Instituto Oswaldo Cruz, 108(8), 1024–1030. https://doi.org/10.1590/0074-0276130128
208;2000;Oliveira-Pereira, Y. N., & Rebêlo, J. M. (2000). Espécies de Anopheles no município de Pinheiro (Maranhäo), área endêmica de malária TT  - Species of Anopheles in Pinheiro municipality (Maranhäo), endemic area of malaria. Rev. Soc. Bras. Med. Trop, 33(5), 443–450. http://www.scielo.br/scielo.php?script=sci_arttext&pid=S0037-86822000000500006&lng=en&nrm=iso
209;2021;Alencar, J., Melandri, V., Silva, J., Albuquerque, H. G., & Guimarães, A. É. (2021). Ecological characterization of mosquitoes (Diptera: Culicidae) in areas of the Mato Grosso Pantanal, Mato Grosso State, Brazil. Tropical Zoology, 34(1), 1–15. https://doi.org/10.4081/tz.2021.84
210;2002;"Sallum, M. A. M., Bergo, E. S., Flores, D. C., & Forattini, O. P. (2002). Systematic Studies on Anopheles galvaoi Causey, Deane & Deane from the Subgenus Nysssorhynchus Blanchard (Diptera: Culicidae). Memórias Do Instituto Oswaldo Cruz, 97(December), 1177–1189. http://www.scielo.br/scielo.php?pid=S0074-02762002000800020&amp;script=sci_arttext&amp;tlng=en"
211;2008;Gonçalves, K. dos S., & Messias, M. C. (2008). Ocorrências de Aedes (Stegomyia) aegypti (Linnaeus, 1762) (Insecta, Diptera, Culicidae) em bromélias, no município do Rio de Janeiro (Rio de Janeiro, Brasil). Biota Neotropica, 8(1), 235–237.
212;2008;Soares, V. A. R. C., Rodrigues, W. C., & Cabral, M. M. de O. (2008). Estudo de áreas e depósitos preferenciais de Aedes albopictus (Skuse, 1894) e Aedes aegypti (Linnaeus, 1762) no Município de Paracambi – Rio de Janeiro, Brasil. EntomoBrasilis, 1(3), 63–68. https://doi.org/10.12741/ebrasilis.v1i3.30
213;1992;Gomes, A. C., Forattini, O. P., Kakitani, I., Marques, G. R., Marques, C. C., Marucci, D., & de Brito, M. (1992). Microhabitats de Aedes albopictus (Skuse) na região do Vale do Paraíba, Estado de São Paulo, Brasil. Revista de Saude Publica, 26(2), 108–118. https://doi.org/10.1590/s0034-89101992000200007
214;2001;Sant’Ana, A. L., & Lozovei, A. L. (2001). Influência do ciclo lunar na captura de Aedes scapularis (Diptera, Culicidae) na Mata Atlântica do Paraná. Iheringia. Série Zoologia, 90, 175–182. https://doi.org/10.1590/s0073-47212001000100018
215;2006;Marcondes, C. B., Fernandes, A., & Müller, G. A. (2006). Mosquitoes (Diptera: Culicidae) near a reservoir in the Western part of the Brazilian State of Santa Catarina. Biota Neotropica, 6(3). https://doi.org/10.1590/s1676-06032006000300014
216;1999;Camargo, L. M. A., Noronha, E., Salcedo, J. M. V., Dutra, A. P., Krieger, H., Pereira Da Silva, L. H., & Camargo, E. P. (1999). The epidemiology of malaria in Rondonia (Western Amazon region, Brazil): Study of a riverine population. Acta Tropica, 72(1), 1–11. https://doi.org/10.1016/S0001-706X(98)00082-5
217;2003;Gil, L. H. S., Alves, F. P., Zieler, H., Salcedo, J. M. V., Durlacher, R. R., Cunha, R. P. A., Tada, M. S., Camargo, L. M. A., Camargo, E. P., & Pereira-Da-Silva, L. H. (2003). Seasonal Malaria Transmission and Variation of Anopheline Density in Two Distinct Endemic Areas in Brazilian Amazônia. Journal of Medical Entomology, 40(5), 636–641. https://doi.org/10.1603/0022-2585-40.5.636
218;2010;Gomes, A. de C., Paula, M. B. de, Natal, D., & Gotlieb, S. L. D. (2010). Ecologia de Anopheles (Nyssorhynchus) darlingi Root em área de implantação de empreendimento hidrelétrico, na divisa dos Estados do Mato Grosso do Sul e São Paulo. Revista Da Sociedade Brasileira de Medicina Tropical, 43(3), 272–276. https://doi.org/10.1590/s0037-86822010000300012
219;2010;Marchi, M. J., Müller, G. A., & Marcondes, C. B. (2010). Mosquitos (Diptera: Culicidae) de uma futura Unidade de Conservação em área de Mata Atlântica no sul do Brasil. EntomoBrasilis, 3(2), 34–37. https://doi.org/10.12741/ebrasilis.v3i2.77
220;2002;Lopes, J., Zequi, J. A. C., Nunes, V., Oliveira, O. de, Neto, B. P. de O., & Rodrigues, W. (2002). Immature Culicidae (Diptera) collected from the Igapó Lake located in the Urban area of Londrina, Paraná, Brazil. Brazilian Archives of Biology and Technology, 45(4), 465–471.
221;2000;Guimarães, A. É., Gentile, C., Lopes, C. M., & De Mello, R. P. (2000). Ecology of Mosquitoes (Diptera: Culicidae) in Areas of Serra do Mar State Park, State of São Paulo, Brazil. II -Habitat Distribution. Memorias Do Instituto Oswaldo Cruz, 95(1–2), 17–28. https://doi.org/10.1590/S0074-02762000000100002
222;1995;Forattini, O. P., Kakitani, I., Massad, E., & Marucci, D. (1995). Studies on mosquitoes (Diptera: Culicidae) and anthropic environment. 10- Survey of adult behaviour of Culex nigripalpus and other species of Culex (Culex) in South-Eastern Brazil. Revista de Saude Publica, 29(4), 271–278. https://doi.org/10.1590/S0034-89101996000400002
223;2013;Alencar, J., Morone, F., Mello, C. F. De, Dégallier, N., Lucio, P. S., Serra-Freire, N. M. Da, & Guimarães, A. É. (2013). Flight height preference for oviposition of mosquito (diptera: Culicidae) vectors of sylvatic yellow fever virus near the hydroelectric reservoir of simplicío, minas Gerais, Brazil. Journal of Medical Entomology, 50(4), 791–795. https://doi.org/10.1603/ME12120
224;2005;Barbosa, A. A., Silva, M. A. N. da, & Sallum, M. A. M. (2005). Description and revalidation of Mansonia (Mansonia) fonsecai (Pinto) (Diptera: Culicidae). Zootaxa, 905, 1–11. https://doi.org/10.5281/zenodo.170985
225;1992;Soubihe, V., Barata, J. M., Natal, D., & da Costa, A. I. (1992). Presence of Aedes (Stegomyia) albopictus (Skuse) in the city of São Paulo, SP, Brazil. Revista de Saúde Pública, 26(1), 57. https://doi.org/10.1590/S0034-89101992000100011
226;2009;Suárez-Mutis, M. C., Fé, N. F., Alecrim, W., & Coura, J. R. (2009). Night and crepuscular mosquitoes and risk of vector-borne diseases in areas of piassaba extraction in the middle Negro River basin, state of Amazonas, Brazil. Memorias Do Instituto Oswaldo Cruz, 104(1), 11–17. https://doi.org/10.1590/S0074-02762009000100002
227;2020;Santos, E. B., Favretto, M. A., & Müller, G. A. (2020). When and what time? On the seasonal and daily patterns of mosquitoes (Diptera: Culicidae) in an Atlantic Forest remnant from Southern Brazil. Austral Entomology, 59(2), 337–344. https://doi.org/10.1111/aen.12454
228;2007;Angêlla, A. F., Gil, L. H. S., Da Silva, L. H. P., & Ribolla, P. E. M. (2007). Population structure of the malaria vector Anopheles darlingi in Rondônia, Brazilian Amazon, based on mitochondrial DNA. Memorias Do Instituto Oswaldo Cruz, 102(8), 953–958. https://doi.org/10.1590/S0074-02762007000800010
229;2009;Santos, R. L. C. dos, Padilha, A., Costa, M. D. P., Costa, E. M., Dantas-Filho, H. de C., & Povoa, M. M. (2009). Vetores de malária em duas reservas indígenas da Amazônia Brasileira TT  - Vectores de malaria en dos reservas indígenas del Amazonas Brasilero TT  - Malaria vectors in two indigenous reserves of the Brazilian Amazon. Rev. Saúde Pública, 43(5), 859–868. http://www.scielosp.org/scielo.php?script=sci_arttext&pid=S0034-89102009000500016%0Ahttp://www.scielo.br/scielo.php?script=sci_arttext&pid=S0034-89102009000500016&lng=en&nrm=iso&tlng=en
230;2010;Reis, M., Müller, G. A., & Marcondes, C. B. (2010). Inventário de mosquitos (Diptera: Culicidae) da Unidade de Conservação Ambiental Desterro, Ilha de Santa Catarina, Sul do Brasil. Biota Neotropica, 10(3), 333–337. https://doi.org/10.1590/s1676-06032010000300031
231;1999;De Castro Gomes, A., Bitencourt, M. D., Natal, D., Pinto, P. L. S., Mucci, L. F., De Paula, M. B., Urbinatti, P. R., & Barata, J. M. S. (1999). Aedes albopictus in rural zone of Brazil and its implication in the sylvatic yellow fever transmission. Revista de Saude Publica, 33(1), 95–97. https://doi.org/10.1590/s0034-89101999000100012
232;2021;da Silva Neves, N. A., da Silva Ferreira, R., Morais, D. O., Pavon, J. A. R., de Pinho, J. B., & Slhessarenko, R. D. (2021). Chikungunya, Zika, Mayaro, and Equine Encephalitis virus detection in adult Culicinae from South Central Mato Grosso, Brazil, during the rainy season of 2018. Brazilian Journal of Microbiology, 53(1), 63–70. https://doi.org/10.1007/s42770-021-00646-5
233;2009;Silva, V. C., Serra-Freire, N. M., Silva, J. D. S., Scherer, P. O., Rodrigues, I., Cunha, S. P., & Alencar, J. (2009). Estudo comparativo entre larvitrampas e ovitrampas para avaliação da presença de Aedes aegypti (Diptera: Culicidae) em Campo Grande, Estado do Rio de Janeiro. Revista Da Sociedade Brasileira de Medicina Tropical, 42(6), 730–731. https://doi.org/10.1590/S0037-86822009000600023
234;2011;Cardoso, J. da C., de Paula, M. B., Fernandes, A., dos Santos, E., de Almeida, M. A. B., da Fonseca, D. F., & Sallum, M. A. M. (2011). Ecological aspects of mosquitoes (Diptera: Culicidae) in an Atlantic forest area on the north coast of Rio Grande do Sul State, Brazil. Journal of Vector Ecology, 36(1), 175–186. https://doi.org/10.1111/j.1948-7134.2011.00155.x
235;2008;Santos, J., Takashi, M., Cavalcante, K., & Steinke, E. (2008). Culicídeos encontrados em áreas próximas a Piscina Velha do Parque Nacional de Brasília (DF). Hygeia, 4(6), 157–141.
236;2001;Sant’Ana, A. L., & Lozovei, A. L. (2001). Influência do ciclo lunar na atividade de vôo de Coquillettidia (Rhynchotaenia) venezuelensis (Theobald) (Diptera, Culicidae) na Mata Atlântica, Serra do Marumbi, Morretes, Paraná, Brasil. Revista Brasileira de Zoologia, 18(2), 365–374. https://doi.org/10.1590/s0101-81752001000200005
237;2018;Hutchings, R. S. G., Hutchings, R. W., Menezes, I. S., Motta, M. de A., & Sallum, M. A. M. (2018). Mosquitoes (Diptera: Culicidae) From the Northwestern Brazilian Amazon: Araçá River. Journal of Medical Entomology, 55(5), 1188–1209. https://doi.org/10.1093/jme/tjy065
238;2018;Montagner, F. R. G., Silva, O. S., & Jahnke, S. M. (2018). Mosquito species occurrence in association with landscape composition in green urban areas. Brazilian Journal of Biology, 78(2), 233–239. https://doi.org/10.1590/1519-6984.04416
239;2015;Santos, C. F., Silva, A. C., Rodrigues, R. A., Jesus, J. S. R. de, & Borges, M. A. Z. (2015). Inventory of Mosquitoes (Diptera: Culicidae) in conservation units in Brazilian Tropical Dry Forests. Revista Do Instituto de Medicina Tropical de São Paulo, 57(3), 227–232. https://doi.org/10.1590/S0036-46652015000300008
240;2020;Andrade, D. C., Morais, S. A., Marteis, L. S., Gama, R. A., Freire, R. C. de M., Rekowski, B. S., Ueno, H. M., & La Corte, R. (2020). Diversity of Mosquitoes (Diptera: Culicidae) in the Caatinga Biome, Brazil, from the Widespread to the Endemic. Insects, 11(8), 468. https://doi.org/10.3390/insects11080468
241;2017;Docile, T. N., Figueiró, R., Honório, N. A., Baptista, D. F., Pereira, G., dos Santos, J. A. A., & Codeço, C. T. (2017). Frequency of Aedes sp. Linnaeus (Diptera: Culicidae) and associated entomofauna in bromeliads from a forest patch within a densely urbanized area. Neotropical Entomology, 46(6), 613–621. https://doi.org/10.1007/s13744-017-0498-y
242;2019;Sallum, M. A. M., Conn, J. E., Bergo, E. S., Laporta, G. Z., Chaves, L. S. M., Bickersmith, S. A., De Oliveira, T. M. P., Figueira, E. A. G., Moresco, G., Olívêr, L., Struchiner, C. J., Yakob, L., & Massad, E. (2019). Vector competence, vectorial capacity of Nyssorhynchus darlingi and the basic reproduction number of Plasmodium vivax in agricultural settlements in the Amazonian Region of Brazil. Malaria Journal, 18(1), 1–15. https://doi.org/10.1186/s12936-019-2753-7
243;2015;Martins, R., Monteiro, G. F., Costa, F. M. da, & Antonini, Y. (2015). First Record of Anopheles darlingi Root (Diptera, Culicidae) in the Volta Grande Environmental Reserve, Conceição das Alagoas Municipality, Minas Gerais, Brazil. EntomoBrasilis, 8(1), 82–84. https://doi.org/10.12741/ebrasilis.v8i1.474
244;2005;Santos, R. L. C. dos, Sucupira, I. M. C., Lacerda, R. N. da L., Fayal, A. da S., & Póvoa, M. M. (2005). Inquérito entomológico e infectividade durante epidemia de malária no município de Anajás, Estado do Pará. Revista Da Sociedade Brasileira de Medicina Tropical, 38(2), 202–204. https://doi.org/10.1590/s0037-86822005000200018
245;2006;Collucci, E., & Sallum, M. A. M. (2006). Records of Anopheles (Nyssorhynchus) (Diptera, Culicidae) in artificial containers in Ribeirão Preto City, State of São Paulo, Brazil. Revista Brasileira de Entomologia, 50(3), 431–432. https://doi.org/10.1590/S0085-56262006000300015
246;2011;Barbosa, L. M. C., & Souto, R. N. P. (2011). Aspectos Ecológicos de Anopheles (Nyssorhyncus) Darlingi Root 1926 e Anopheles (Nyssorhyncus) Marajoara Galvão e Damasceno 1942 (Diptera: Culicidae) nos Bairros Marabaixo I e Zerão, Macapá, Amapá, Brasil. Biota Amazônia, 1(1), 19–25. https://doi.org/10.18561/2179-5746/biotaamazonia.v1n1p19-25
247;2013;Ribeiro, A. L. M., Miyazaki, R. D., Rodrigues, J. S. V., & Campelo Júnior, J. H. (2013). Parity and influence of abiotic factors on Anopheles in the Manso dam, State of Mato Grosso, Brazil. Revista Da Sociedade Brasileira de Medicina Tropical, 46(4), 498–501. https://doi.org/10.1590/0037-8682-1354-2013
248;2011;Missawa, N. A., Ribeiro, A. L. M., Maciel, G. B. M. L., & Zeilhofer, P. (2011). Comparação de métodos de captura para o diagnóstico da população de anofelinos adultos do estado de Mato Grosso. Revista Da Sociedade Brasileira de Medicina Tropical, 44(5), 555–560. https://doi.org/10.1590/S0037-86822011005000053
249;2013;Marcondes, C. B., & De Freitas, V. F. (2013). Anopheles deaneorum: A new potential malaria vector in state of Santa catarina, Brazil (diptera: Culicidae). Revista Da Sociedade Brasileira de Medicina Tropical, 46(1), 121–122. https://doi.org/10.1590/0037-8682201200342013
250;2009;Gama, R. A., Santos, R. L. C., Santos, F. Dos, Silva, I. M., Resende, M. C., & Eiras, Á. E. (2009). Periodicidade de captura de Anopheles darlingi Root (Diptera: Culicidae) em Porto Velho, RO. Neotropical Entomology, 38(5), 677–682. https://doi.org/10.1590/S1519-566X2009000500019
251;2002;Conn, J. A. N. E., Wilkerson, R. C., Segura, M. N. O., Souza, R. T. L. de, Schlichting, C. D., Wirtz, R. A., & Póvoa, M. M. (2002). Emergence of a new neotropical malaria vector facilitated by human migration and changes in land use. American Journal of Tropical Medicine and Hygiene, 66(1), 18–22.
252;2015;Biassi, D. L., Marcondes, C. B., Wagner, G., & Gerson, A. (2015). Mosquito species collected in a fragmented of the Atlantic forest bioma in the southern of Brazil. International Journal of Fauna and Biological Studies, 2(2), 35–37.
253;2005;Alencar, J., Lorosa, E. S., Silva, J. dos S., Lopes, C. M., & Guimarães, A. E. (2005). Observações sobre padrões alimentares de mosquitos (Diptera: Culicidae) no Pantanal Mato-Grossense. Neotropical Entomology, 34(4), 681–687. https://doi.org/10.1590/S1519-566X2005000400020
254;2001;Zequi, J. A. C., & Lopes, J. (2001). Culicideofauna (Diptera) encontrada em entrenós de taquara de uma mata residual na área urbana de Londrina, Paraná, Brasil. Revista Brasileira de Zoologia, 18(2), 429–438. https://doi.org/10.1590/s0101-81752001000200014
255;2008;Hutchings, R. S. . G., & Sallum, M. A. M. (2008). Two new species of Culex subgenus Melanoconion (Diptera: Culicidae) from the Amazon forest. Zootaxa, 50(1920), 41–50. https://doi.org/10.11646/zootaxa.1920.1.3
256;2004;Navarro-Silva, M. A., Barbosa, A. A., & Calado, D. (2004). Atividade de Mansonia spp. (Mansoniini, Culicidae) em fragmento florestal na área urbana de Curitiba, Paraná, Brasil. Revista Brasileira de Zoologia, 21(2), 243–247. https://doi.org/10.1590/s0101-81752004000200012
257;2007;Gama, R. A., Silva, E. M., Silva, I. M., Resende, M. C., & Eiras, Á. E. (2007). Evaluation of the sticky MosquiTRAPTM for detecting Aedes (Stegomyia) aegypti (L.) (Diptera: Culicidae) during the dry season in Belo Horizonte, Minas Gerais, Brazil. Neotropical Entomology, 36(2), 294–302. https://doi.org/10.1590/S1519-566X2007000200018
258;2006;"Fávaro, E. A., Dibo, M. R., Mondini, A., Ferreira, A. C., Barbosa, A. A. C., Eiras, Á. E., Barata, E. A. M. F., & Chiaravalloti-Neto, F. (2006). Physiological state of Aedes (Stegomyia) aegypti mosquitoes captured with MosquiTRAPsTM in Mirassol, São Paulo, Brazil. Journal of Vector Ecology, 31(2), 285–291. https://doi.org/10.3376/1081-1710(2006)31[285:psoasa]2.0.co;2"
259;2000;Braga, I. A., Gomes, A. de C., Nelson, M., Mello, R. de C. G., Bergamaschi, D. P., & Souza, J. M. P. de. (2000). Comparação entre pesquisa larvária e armadilha de oviposição, para detecção de Aedes aegypti. Revista Da Sociedade Brasileira de Medicina Tropical, 33(4), 347–353. https://doi.org/10.1590/s0037-86822000000400003
